Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.020609	 0.805161 	 
0.020672	 0.805221 	 
0.020735	 0.805282 	 
0.020797	 0.805343 	 
0.020860	 0.805404 	 
0.020923	 0.805464 	 
0.020986	 0.805525 	 
0.021049	 0.805586 	 
0.021112	 0.805647 	 
0.021174	 0.805707 	 
0.021237	 0.805768 	 
0.021300	 0.805829 	 
0.021363	 0.805890 	 
0.021426	 0.805950 	 
0.021488	 0.806011 	 
0.021551	 0.806072 	 
0.021614	 0.806133 	 
0.021677	 0.806194 	 
0.021740	 0.806254 	 
0.021803	 0.806315 	 
0.021865	 0.806376 	 
0.021928	 0.806437 	 
0.021991	 0.806497 	 
0.022054	 0.806558 	 
0.022117	 0.806619 	 
0.022180	 0.806680 	 
0.022242	 0.806741 	 
0.022305	 0.806801 	 
0.022368	 0.806862 	 
0.022431	 0.806923 	 
0.022494	 0.806984 	 
0.022557	 0.807045 	 
0.022619	 0.807106 	 
0.022682	 0.807166 	 
0.022745	 0.807227 	 
0.022808	 0.807288 	 
0.022871	 0.807349 	 
0.022934	 0.807410 	 
0.022996	 0.807471 	 
0.023059	 0.807531 	 
0.023122	 0.807592 	 
0.023185	 0.807653 	 
0.023248	 0.807714 	 
0.023311	 0.807775 	 
0.023373	 0.807836 	 
0.023436	 0.807896 	 
0.023499	 0.807957 	 
0.023562	 0.808018 	 
0.023625	 0.808079 	 
0.023688	 0.808140 	 
0.023750	 0.808201 	 
0.023813	 0.808262 	 
0.023876	 0.808323 	 
0.023939	 0.808383 	 
0.024002	 0.808444 	 
0.024065	 0.808505 	 
0.024127	 0.808566 	 
0.024190	 0.808627 	 
0.024253	 0.808688 	 
0.024316	 0.808749 	 
0.024379	 0.808810 	 
0.024442	 0.808871 	 
0.024504	 0.808931 	 
0.024567	 0.808992 	 
0.024630	 0.809053 	 
0.024693	 0.809114 	 
0.024756	 0.809175 	 
0.024819	 0.809236 	 
0.024881	 0.809297 	 
0.024944	 0.809358 	 
0.025007	 0.809419 	 
0.025070	 0.809480 	 
0.025133	 0.809541 	 
0.025196	 0.809602 	 
0.025258	 0.809662 	 
0.025321	 0.809723 	 
0.025384	 0.809784 	 
0.025447	 0.809845 	 
0.025510	 0.809906 	 
0.025573	 0.809967 	 
0.025635	 0.810028 	 
0.025698	 0.810089 	 
0.025761	 0.810150 	 
0.025824	 0.810211 	 
0.025887	 0.810272 	 
0.025950	 0.810333 	 
0.026012	 0.810394 	 
0.026075	 0.810455 	 
0.026138	 0.810516 	 
0.026201	 0.810577 	 
0.026264	 0.810638 	 
0.026327	 0.810699 	 
0.026389	 0.810760 	 
0.026452	 0.810821 	 
0.026515	 0.810882 	 
0.026578	 0.810943 	 
0.026641	 0.811004 	 
0.026704	 0.811065 	 
0.026766	 0.811126 	 
0.026829	 0.811187 	 
0.026892	 0.811248 	 
0.026955	 0.811309 	 
0.027018	 0.811370 	 
0.027081	 0.811431 	 
0.027143	 0.811492 	 
0.027206	 0.811553 	 
0.027269	 0.811614 	 
0.027332	 0.811675 	 
0.027395	 0.811736 	 
0.027458	 0.811797 	 
0.027520	 0.811858 	 
0.027583	 0.811919 	 
0.027646	 0.811980 	 
0.027709	 0.812041 	 
0.027772	 0.812102 	 
0.027835	 0.812163 	 
0.027897	 0.812224 	 
0.027960	 0.812285 	 
0.028023	 0.812346 	 
0.028086	 0.812407 	 
0.028149	 0.812469 	 
0.028212	 0.812530 	 
0.028274	 0.812591 	 
0.028337	 0.812652 	 
0.028400	 0.812713 	 
0.028463	 0.812774 	 
0.028526	 0.812835 	 
0.028588	 0.812896 	 
0.028651	 0.812957 	 
0.028714	 0.813018 	 
0.028777	 0.813079 	 
0.028840	 0.813140 	 
0.028903	 0.813202 	 
0.028965	 0.813263 	 
0.029028	 0.813324 	 
0.029091	 0.813385 	 
0.029154	 0.813446 	 
0.029217	 0.813507 	 
0.029280	 0.813568 	 
0.029342	 0.813629 	 
0.029405	 0.813690 	 
0.029468	 0.813752 	 
0.029531	 0.813813 	 
0.029594	 0.813874 	 
0.029657	 0.813935 	 
0.029719	 0.813996 	 
0.029782	 0.814057 	 
0.029845	 0.814118 	 
0.029908	 0.814179 	 
0.029971	 0.814241 	 
0.030034	 0.814302 	 
0.030096	 0.814363 	 
0.030159	 0.814424 	 
0.030222	 0.814485 	 
0.030285	 0.814546 	 
0.030348	 0.814608 	 
0.030411	 0.814669 	 
0.030473	 0.814730 	 
0.030536	 0.814791 	 
0.030599	 0.814852 	 
0.030662	 0.814913 	 
0.030725	 0.814975 	 
0.030788	 0.815036 	 
0.030850	 0.815097 	 
0.030913	 0.815158 	 
0.030976	 0.815219 	 
0.031039	 0.815280 	 
0.031102	 0.815342 	 
0.031165	 0.815403 	 
0.031227	 0.815464 	 
0.031290	 0.815525 	 
0.031353	 0.815586 	 
0.031416	 0.815648 	 
0.031479	 0.815709 	 
0.031542	 0.815770 	 
0.031604	 0.815831 	 
0.031667	 0.815893 	 
0.031730	 0.815954 	 
0.031793	 0.816015 	 
0.031856	 0.816076 	 
0.031919	 0.816137 	 
0.031981	 0.816199 	 
0.032044	 0.816260 	 
0.032107	 0.816321 	 
0.032170	 0.816382 	 
0.032233	 0.816444 	 
0.032296	 0.816505 	 
0.032358	 0.816566 	 
0.032421	 0.816627 	 
0.032484	 0.816689 	 
0.032547	 0.816750 	 
0.032610	 0.816811 	 
0.032673	 0.816872 	 
0.032735	 0.816934 	 
0.032798	 0.816995 	 
0.032861	 0.817056 	 
0.032924	 0.817117 	 
0.032987	 0.817179 	 
0.033050	 0.817240 	 
0.033112	 0.817301 	 
0.033175	 0.817363 	 
0.033238	 0.817424 	 
0.033301	 0.817485 	 
0.033364	 0.817546 	 
0.033427	 0.817608 	 
0.033489	 0.817669 	 
0.033552	 0.817730 	 
0.033615	 0.817792 	 
0.033678	 0.817853 	 
0.033741	 0.817914 	 
0.033804	 0.817976 	 
0.033866	 0.818037 	 
0.033929	 0.818098 	 
0.033992	 0.818160 	 
0.034055	 0.818221 	 
0.034118	 0.818282 	 
0.034181	 0.818344 	 
0.034243	 0.818405 	 
0.034306	 0.818466 	 
0.034369	 0.818528 	 
0.034432	 0.818589 	 
0.034495	 0.818650 	 
0.034558	 0.818712 	 
0.034620	 0.818773 	 
0.034683	 0.818834 	 
0.034746	 0.818896 	 
0.034809	 0.818957 	 
0.034872	 0.819018 	 
0.034935	 0.819080 	 
0.034997	 0.819141 	 
0.035060	 0.819202 	 
0.035123	 0.819264 	 
0.035186	 0.819325 	 
0.035249	 0.819386 	 
0.035312	 0.819448 	 
0.035374	 0.819509 	 
0.035437	 0.819571 	 
0.035500	 0.819632 	 
0.035563	 0.819693 	 
0.035626	 0.819755 	 
0.035688	 0.819816 	 
0.035751	 0.819878 	 
0.035814	 0.819939 	 
0.035877	 0.820000 	 
0.035940	 0.820062 	 
0.036003	 0.820123 	 
0.036065	 0.820185 	 
0.036128	 0.820246 	 
0.036191	 0.820307 	 
0.036254	 0.820369 	 
0.036317	 0.820430 	 
0.036380	 0.820492 	 
0.036442	 0.820553 	 
0.036505	 0.820614 	 
0.036568	 0.820676 	 
0.036631	 0.820737 	 
0.036694	 0.820799 	 
0.036757	 0.820860 	 
0.036819	 0.820922 	 
0.036882	 0.820983 	 
0.036945	 0.821045 	 
0.037008	 0.821106 	 
0.037071	 0.821167 	 
0.037134	 0.821229 	 
0.037196	 0.821290 	 
0.037259	 0.821352 	 
0.037322	 0.821413 	 
0.037385	 0.821475 	 
0.037448	 0.821536 	 
0.037511	 0.821598 	 
0.037573	 0.821659 	 
0.037636	 0.821721 	 
0.037699	 0.821782 	 
0.037762	 0.821844 	 
0.037825	 0.821905 	 
0.037888	 0.821967 	 
0.037950	 0.822028 	 
0.038013	 0.822090 	 
0.038076	 0.822151 	 
0.038139	 0.822213 	 
0.038202	 0.822274 	 
0.038265	 0.822336 	 
0.038327	 0.822397 	 
0.038390	 0.822459 	 
