Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.030599	 inf 	 
0.030662	 inf 	 
0.030725	 inf 	 
0.030788	 inf 	 
0.030850	 inf 	 
0.030913	 inf 	 
0.030976	 inf 	 
0.031039	 inf 	 
0.031102	 inf 	 
0.031165	 inf 	 
0.031227	 inf 	 
0.031290	 inf 	 
0.031353	 inf 	 
0.031416	 inf 	 
0.031479	 inf 	 
0.031542	 inf 	 
0.031604	 inf 	 
0.031667	 inf 	 
0.031730	 inf 	 
0.031793	 inf 	 
0.031856	 inf 	 
0.031919	 inf 	 
0.031981	 inf 	 
0.032044	 inf 	 
0.032107	 inf 	 
0.032170	 inf 	 
0.032233	 inf 	 
0.032296	 inf 	 
0.032358	 inf 	 
0.032421	 inf 	 
0.032484	 inf 	 
0.032547	 inf 	 
0.032610	 inf 	 
0.032673	 inf 	 
0.032735	 inf 	 
0.032798	 inf 	 
0.032861	 inf 	 
0.032924	 inf 	 
0.032987	 inf 	 
0.033050	 inf 	 
0.033112	 inf 	 
0.033175	 inf 	 
0.033238	 inf 	 
0.033301	 inf 	 
0.033364	 inf 	 
0.033427	 inf 	 
0.033489	 inf 	 
0.033552	 inf 	 
0.033615	 inf 	 
0.033678	 inf 	 
0.033741	 inf 	 
0.033804	 inf 	 
0.033866	 inf 	 
0.033929	 inf 	 
0.033992	 inf 	 
0.034055	 inf 	 
0.034118	 inf 	 
0.034181	 inf 	 
0.034243	 inf 	 
0.034306	 inf 	 
0.034369	 inf 	 
0.034432	 inf 	 
0.034495	 inf 	 
0.034558	 inf 	 
0.034620	 inf 	 
0.034683	 inf 	 
0.034746	 inf 	 
0.034809	 inf 	 
0.034872	 inf 	 
0.034935	 inf 	 
0.034997	 inf 	 
0.035060	 inf 	 
0.035123	 inf 	 
0.035186	 inf 	 
0.035249	 inf 	 
0.035312	 inf 	 
0.035374	 inf 	 
0.035437	 inf 	 
0.035500	 inf 	 
0.035563	 inf 	 
0.035626	 inf 	 
0.035688	 inf 	 
0.035751	 inf 	 
0.035814	 inf 	 
0.035877	 inf 	 
0.035940	 inf 	 
0.036003	 inf 	 
0.036065	 inf 	 
0.036128	 inf 	 
0.036191	 inf 	 
0.036254	 inf 	 
0.036317	 inf 	 
0.036380	 inf 	 
0.036442	 inf 	 
0.036505	 inf 	 
0.036568	 inf 	 
0.036631	 inf 	 
0.036694	 inf 	 
0.036757	 inf 	 
0.036819	 inf 	 
0.036882	 inf 	 
0.036945	 inf 	 
0.037008	 inf 	 
0.037071	 inf 	 
0.037134	 inf 	 
0.037196	 inf 	 
0.037259	 inf 	 
0.037322	 inf 	 
0.037385	 inf 	 
0.037448	 inf 	 
0.037511	 inf 	 
0.037573	 inf 	 
0.037636	 inf 	 
0.037699	 inf 	 
0.037762	 inf 	 
0.037825	 inf 	 
0.037888	 inf 	 
0.037950	 inf 	 
0.038013	 inf 	 
0.038076	 inf 	 
0.038139	 inf 	 
0.038202	 inf 	 
0.038265	 inf 	 
0.038327	 inf 	 
0.038390	 inf 	 
0.038453	 inf 	 
0.038516	 inf 	 
0.038579	 inf 	 
0.038642	 inf 	 
0.038704	 inf 	 
0.038767	 inf 	 
0.038830	 inf 	 
0.038893	 inf 	 
0.038956	 inf 	 
0.039019	 inf 	 
0.039081	 inf 	 
0.039144	 inf 	 
0.039207	 inf 	 
0.039270	 inf 	 
0.039333	 inf 	 
0.039396	 inf 	 
0.039458	 inf 	 
0.039521	 inf 	 
0.039584	 inf 	 
0.039647	 inf 	 
0.039710	 inf 	 
0.039773	 inf 	 
0.039835	 inf 	 
0.039898	 inf 	 
0.039961	 inf 	 
0.040024	 inf 	 
0.040087	 inf 	 
0.040150	 inf 	 
0.040212	 inf 	 
0.040275	 inf 	 
0.040338	 inf 	 
0.040401	 inf 	 
0.040464	 inf 	 
0.040527	 inf 	 
0.040589	 inf 	 
0.040652	 inf 	 
0.040715	 inf 	 
0.040778	 inf 	 
0.040841	 inf 	 
0.040904	 inf 	 
0.040966	 inf 	 
0.041029	 inf 	 
0.041092	 inf 	 
0.041155	 inf 	 
0.041218	 inf 	 
0.041281	 inf 	 
0.041343	 inf 	 
0.041406	 inf 	 
0.041469	 inf 	 
0.041532	 inf 	 
0.041595	 inf 	 
0.041658	 inf 	 
0.041720	 inf 	 
0.041783	 inf 	 
0.041846	 inf 	 
0.041909	 inf 	 
0.041972	 inf 	 
0.042035	 inf 	 
0.042097	 inf 	 
0.042160	 inf 	 
0.042223	 inf 	 
0.042286	 inf 	 
0.042349	 inf 	 
0.042412	 inf 	 
0.042474	 inf 	 
0.042537	 inf 	 
0.042600	 inf 	 
0.042663	 inf 	 
0.042726	 inf 	 
0.042788	 inf 	 
0.042851	 inf 	 
0.042914	 inf 	 
0.042977	 inf 	 
0.043040	 inf 	 
0.043103	 inf 	 
0.043165	 inf 	 
0.043228	 inf 	 
0.043291	 inf 	 
0.043354	 inf 	 
0.043417	 inf 	 
0.043480	 inf 	 
0.043542	 inf 	 
0.043605	 inf 	 
0.043668	 inf 	 
0.043731	 inf 	 
0.043794	 inf 	 
0.043857	 inf 	 
0.043919	 inf 	 
0.043982	 inf 	 
0.044045	 inf 	 
0.044108	 inf 	 
0.044171	 inf 	 
0.044234	 inf 	 
0.044296	 inf 	 
0.044359	 inf 	 
0.044422	 inf 	 
0.044485	 inf 	 
0.044548	 inf 	 
0.044611	 inf 	 
0.044673	 inf 	 
0.044736	 inf 	 
0.044799	 inf 	 
0.044862	 inf 	 
0.044925	 inf 	 
0.044988	 inf 	 
0.045050	 inf 	 
0.045113	 inf 	 
0.045176	 inf 	 
0.045239	 inf 	 
0.045302	 inf 	 
0.045365	 inf 	 
0.045427	 inf 	 
0.045490	 inf 	 
0.045553	 inf 	 
0.045616	 inf 	 
0.045679	 inf 	 
0.045742	 inf 	 
0.045804	 inf 	 
0.045867	 inf 	 
0.045930	 inf 	 
0.045993	 inf 	 
0.046056	 inf 	 
0.046119	 inf 	 
0.046181	 inf 	 
0.046244	 inf 	 
0.046307	 inf 	 
0.046370	 inf 	 
0.046433	 inf 	 
0.046496	 inf 	 
0.046558	 inf 	 
0.046621	 inf 	 
0.046684	 inf 	 
0.046747	 inf 	 
0.046810	 inf 	 
0.046873	 inf 	 
0.046935	 inf 	 
0.046998	 inf 	 
0.047061	 inf 	 
0.047124	 inf 	 
0.047187	 inf 	 
0.047250	 inf 	 
0.047312	 inf 	 
0.047375	 inf 	 
0.047438	 inf 	 
0.047501	 inf 	 
0.047564	 inf 	 
0.047627	 inf 	 
0.047689	 inf 	 
0.047752	 inf 	 
0.047815	 inf 	 
0.047878	 inf 	 
0.047941	 inf 	 
0.048004	 inf 	 
0.048066	 inf 	 
0.048129	 inf 	 
0.048192	 inf 	 
0.048255	 inf 	 
0.048318	 inf 	 
0.048381	 inf 	 
0.048443	 inf 	 
0.048506	 inf 	 
0.048569	 inf 	 
0.048632	 inf 	 
0.048695	 inf 	 
0.048758	 inf 	 
0.048820	 inf 	 
0.048883	 inf 	 
0.048946	 inf 	 
0.049009	 inf 	 
0.049072	 inf 	 
0.049135	 inf 	 
0.049197	 inf 	 
0.049260	 inf 	 
0.049323	 inf 	 
0.049386	 inf 	 
0.049449	 inf 	 
0.049512	 inf 	 
0.049574	 inf 	 
0.049637	 inf 	 
0.049700	 inf 	 
0.049763	 inf 	 
0.049826	 inf 	 
0.049888	 inf 	 
0.049951	 inf 	 
0.050014	 inf 	 
0.050077	 inf 	 
0.050140	 inf 	 
0.050203	 inf 	 
0.050265	 inf 	 
0.050328	 inf 	 
0.050391	 inf 	 
0.050454	 inf 	 
0.050517	 inf 	 
0.050580	 inf 	 
0.050642	 inf 	 
0.050705	 inf 	 
0.050768	 inf 	 
0.050831	 inf 	 
0.050894	 inf 	 
0.050957	 inf 	 
0.051019	 inf 	 
0.051082	 inf 	 
0.051145	 inf 	 
0.051208	 inf 	 
0.051271	 inf 	 
0.051334	 inf 	 
0.051396	 inf 	 
0.051459	 inf 	 
0.051522	 inf 	 
0.051585	 inf 	 
0.051648	 inf 	 
0.051711	 inf 	 
0.051773	 inf 	 
0.051836	 inf 	 
0.051899	 inf 	 
0.051962	 inf 	 
0.052025	 inf 	 
0.052088	 inf 	 
0.052150	 inf 	 
0.052213	 inf 	 
0.052276	 inf 	 
0.052339	 inf 	 
0.052402	 inf 	 
0.052465	 inf 	 
0.052527	 inf 	 
0.052590	 inf 	 
0.052653	 inf 	 
0.052716	 inf 	 
0.052779	 inf 	 
0.052842	 inf 	 
0.052904	 inf 	 
0.052967	 inf 	 
0.053030	 inf 	 
0.053093	 inf 	 
0.053156	 inf 	 
0.053219	 inf 	 
0.053281	 inf 	 
0.053344	 inf 	 
0.053407	 inf 	 
0.053470	 inf 	 
0.053533	 inf 	 
0.053596	 inf 	 
0.053658	 inf 	 
0.053721	 inf 	 
0.053784	 inf 	 
0.053847	 inf 	 
0.053910	 inf 	 
0.053973	 inf 	 
0.054035	 inf 	 
0.054098	 inf 	 
0.054161	 inf 	 
0.054224	 inf 	 
0.054287	 inf 	 
0.054350	 inf 	 
0.054412	 inf 	 
0.054475	 inf 	 
0.054538	 inf 	 
0.054601	 inf 	 
0.054664	 inf 	 
0.054727	 inf 	 
0.054789	 inf 	 
0.054852	 inf 	 
0.054915	 inf 	 
0.054978	 inf 	 
0.055041	 inf 	 
0.055104	 inf 	 
0.055166	 inf 	 
0.055229	 inf 	 
0.055292	 inf 	 
0.055355	 inf 	 
0.055418	 inf 	 
0.055481	 inf 	 
0.055543	 inf 	 
0.055606	 inf 	 
0.055669	 inf 	 
0.055732	 inf 	 
0.055795	 inf 	 
0.055858	 inf 	 
0.055920	 inf 	 
0.055983	 inf 	 
0.056046	 inf 	 
0.056109	 inf 	 
0.056172	 inf 	 
0.056235	 inf 	 
0.056297	 inf 	 
0.056360	 inf 	 
0.056423	 inf 	 
0.056486	 inf 	 
0.056549	 inf 	 
0.056611	 inf 	 
0.056674	 inf 	 
0.056737	 inf 	 
0.056800	 inf 	 
0.056863	 inf 	 
0.056926	 inf 	 
0.056988	 inf 	 
0.057051	 inf 	 
0.057114	 inf 	 
0.057177	 inf 	 
0.057240	 inf 	 
0.057303	 inf 	 
0.057365	 inf 	 
0.057428	 inf 	 
0.057491	 inf 	 
0.057554	 inf 	 
0.057617	 inf 	 
0.057680	 inf 	 
0.057742	 inf 	 
0.057805	 inf 	 
0.057868	 inf 	 
0.057931	 inf 	 
0.057994	 inf 	 
0.058057	 inf 	 
0.058119	 inf 	 
0.058182	 inf 	 
0.058245	 inf 	 
0.058308	 inf 	 
0.058371	 inf 	 
0.058434	 inf 	 
0.058496	 inf 	 
0.058559	 inf 	 
0.058622	 inf 	 
0.058685	 inf 	 
0.058748	 inf 	 
0.058811	 inf 	 
0.058873	 inf 	 
0.058936	 inf 	 
0.058999	 inf 	 
0.059062	 inf 	 
0.059125	 inf 	 
0.059188	 inf 	 
0.059250	 inf 	 
0.059313	 inf 	 
0.059376	 inf 	 
0.059439	 inf 	 
0.059502	 inf 	 
0.059565	 inf 	 
0.059627	 inf 	 
0.059690	 inf 	 
0.059753	 inf 	 
0.059816	 inf 	 
0.059879	 inf 	 
0.059942	 inf 	 
0.060004	 inf 	 
0.060067	 inf 	 
0.060130	 inf 	 
0.060193	 inf 	 
0.060256	 inf 	 
0.060319	 inf 	 
0.060381	 inf 	 
0.060444	 inf 	 
0.060507	 inf 	 
0.060570	 inf 	 
0.060633	 inf 	 
0.060696	 inf 	 
0.060758	 inf 	 
0.060821	 inf 	 
0.060884	 inf 	 
0.060947	 inf 	 
0.061010	 inf 	 
0.061073	 inf 	 
0.061135	 inf 	 
0.061198	 inf 	 
0.061261	 inf 	 
0.061324	 inf 	 
0.061387	 inf 	 
0.061450	 inf 	 
0.061512	 inf 	 
0.061575	 inf 	 
0.061638	 inf 	 
0.061701	 inf 	 
0.061764	 inf 	 
0.061827	 inf 	 
0.061889	 inf 	 
0.061952	 inf 	 
0.062015	 inf 	 
0.062078	 inf 	 
0.062141	 inf 	 
0.062204	 inf 	 
0.062266	 inf 	 
0.062329	 inf 	 
0.062392	 inf 	 
0.062455	 inf 	 
0.062518	 inf 	 
0.062581	 inf 	 
0.062643	 inf 	 
0.062706	 inf 	 
0.062769	 inf 	 
0.062832	 inf 	 
0.062895	 inf 	 
0.062958	 inf 	 
0.063020	 inf 	 
0.063083	 inf 	 
0.063146	 inf 	 
0.063209	 inf 	 
0.063272	 inf 	 
0.063335	 inf 	 
0.063397	 inf 	 
0.063460	 inf 	 
0.063523	 inf 	 
0.063586	 inf 	 
0.063649	 inf 	 
0.063711	 inf 	 
0.063774	 inf 	 
0.063837	 inf 	 
0.063900	 inf 	 
0.063963	 inf 	 
0.064026	 inf 	 
0.064088	 inf 	 
0.064151	 inf 	 
0.064214	 inf 	 
0.064277	 inf 	 
0.064340	 inf 	 
0.064403	 inf 	 
0.064465	 inf 	 
0.064528	 inf 	 
0.064591	 inf 	 
0.064654	 inf 	 
0.064717	 inf 	 
0.064780	 inf 	 
0.064842	 inf 	 
0.064905	 inf 	 
0.064968	 inf 	 
0.065031	 inf 	 
0.065094	 inf 	 
0.065157	 inf 	 
0.065219	 inf 	 
0.065282	 inf 	 
0.065345	 inf 	 
0.065408	 inf 	 
0.065471	 inf 	 
0.065534	 inf 	 
0.065596	 inf 	 
0.065659	 inf 	 
0.065722	 inf 	 
0.065785	 inf 	 
0.065848	 inf 	 
0.065911	 inf 	 
0.065973	 inf 	 
0.066036	 inf 	 
0.066099	 inf 	 
0.066162	 inf 	 
0.066225	 inf 	 
0.066288	 inf 	 
0.066350	 inf 	 
0.066413	 inf 	 
0.066476	 inf 	 
0.066539	 inf 	 
0.066602	 inf 	 
0.066665	 inf 	 
0.066727	 inf 	 
0.066790	 inf 	 
0.066853	 inf 	 
0.066916	 inf 	 
0.066979	 inf 	 
0.067042	 inf 	 
0.067104	 inf 	 
0.067167	 inf 	 
0.067230	 inf 	 
0.067293	 inf 	 
0.067356	 inf 	 
0.067419	 inf 	 
0.067481	 inf 	 
0.067544	 inf 	 
0.067607	 inf 	 
0.067670	 inf 	 
0.067733	 inf 	 
0.067796	 inf 	 
0.067858	 inf 	 
0.067921	 inf 	 
0.067984	 inf 	 
0.068047	 inf 	 
0.068110	 inf 	 
0.068173	 inf 	 
0.068235	 inf 	 
0.068298	 inf 	 
0.068361	 inf 	 
0.068424	 inf 	 
0.068487	 inf 	 
0.068550	 inf 	 
0.068612	 inf 	 
0.068675	 inf 	 
0.068738	 inf 	 
0.068801	 inf 	 
0.068864	 inf 	 
0.068927	 inf 	 
0.068989	 inf 	 
0.069052	 inf 	 
0.069115	 inf 	 
0.069178	 inf 	 
0.069241	 inf 	 
0.069304	 inf 	 
0.069366	 inf 	 
0.069429	 inf 	 
0.069492	 inf 	 
0.069555	 inf 	 
0.069618	 inf 	 
0.069681	 inf 	 
0.069743	 inf 	 
0.069806	 inf 	 
0.069869	 inf 	 
0.069932	 inf 	 
0.069995	 inf 	 
0.070058	 inf 	 
0.070120	 inf 	 
0.070183	 inf 	 
0.070246	 inf 	 
0.070309	 inf 	 
0.070372	 inf 	 
0.070435	 inf 	 
0.070497	 inf 	 
0.070560	 inf 	 
0.070623	 inf 	 
0.070686	 inf 	 
0.070749	 inf 	 
0.070811	 inf 	 
0.070874	 inf 	 
0.070937	 inf 	 
0.071000	 inf 	 
0.071063	 inf 	 
0.071126	 inf 	 
0.071188	 inf 	 
0.071251	 inf 	 
0.071314	 inf 	 
0.071377	 inf 	 
0.071440	 inf 	 
0.071503	 inf 	 
0.071565	 inf 	 
0.071628	 inf 	 
0.071691	 inf 	 
0.071754	 inf 	 
0.071817	 inf 	 
0.071880	 inf 	 
0.071942	 inf 	 
0.072005	 inf 	 
0.072068	 inf 	 
0.072131	 inf 	 
0.072194	 inf 	 
0.072257	 inf 	 
0.072319	 inf 	 
0.072382	 inf 	 
0.072445	 inf 	 
0.072508	 inf 	 
0.072571	 inf 	 
0.072634	 inf 	 
